transaction_id,date,account_id,amount,category,is_duplicate,is_high_value,is_suspicious_account,risk_score,risk_level
713,2024-01-15,ACC1020,12627.18,Travel,True,True,False,65.0,Medium
777,2024-01-15,ACC1020,12627.18,Travel,True,True,False,65.0,Medium
779,2024-01-18,ACC9999,1589.71,Electronics,True,False,True,60.0,Medium
766,2024-01-18,ACC9999,1589.71,Electronics,True,False,True,60.0,Medium
772,2024-02-12,ACC9999,1880.95,Electronics,True,False,True,60.0,Medium
782,2024-01-21,ACC9999,725.42,Healthcare,True,False,True,60.0,Medium
738,2024-01-21,ACC9999,725.42,Healthcare,True,False,True,60.0,Medium
786,2024-02-12,ACC9999,1880.95,Electronics,True,False,True,60.0,Medium
778,2024-01-16,ACC1016,1234.22,Healthcare,True,False,False,35.0,Low
429,2024-01-18,ACC1007,1455.21,Travel,True,False,False,35.0,Low
776,2024-01-18,ACC1007,1455.21,Travel,True,False,False,35.0,Low
327,2024-01-16,ACC1016,1234.22,Healthcare,True,False,False,35.0,Low
787,2024-01-08,ACC1012,1500.39,Healthcare,True,False,False,35.0,Low
781,2024-01-10,ACC1004,508.43,Entertainment,True,False,False,35.0,Low
78,2024-01-08,ACC1012,1500.39,Healthcare,True,False,False,35.0,Low
362,2024-01-19,ACC1009,202.18,Dining,True,False,False,35.0,Low
780,2024-01-19,ACC1009,202.18,Dining,True,False,False,35.0,Low
519,2024-01-30,ACC1010,189.4,Travel,True,False,False,35.0,Low
785,2024-01-30,ACC1010,189.4,Travel,True,False,False,35.0,Low
784,2024-02-13,ACC1023,2804.3,Groceries,True,False,False,35.0,Low
783,2024-02-14,ACC1021,1047.52,Travel,True,False,False,35.0,Low
219,2024-02-14,ACC1021,1047.52,Travel,True,False,False,35.0,Low
121,2024-02-13,ACC1023,2804.3,Groceries,True,False,False,35.0,Low
542,2024-01-10,ACC1004,508.43,Entertainment,True,False,False,35.0,Low
704,2024-01-19,ACC1024,23138.66,Dining,False,True,False,30.0,Low
706,2024-01-25,ACC1018,16977.6,Transfer,False,True,False,30.0,Low
705,2024-01-30,ACC1013,12387.86,Dining,False,True,False,30.0,Low
715,2024-01-16,ACC1004,14889.49,Utilities,False,True,False,30.0,Low
707,2024-01-09,ACC1000,24207.94,Healthcare,False,True,False,30.0,Low
714,2024-01-07,ACC1022,12442.1,Entertainment,False,True,False,30.0,Low
712,2024-01-19,ACC1006,12723.71,Groceries,False,True,False,30.0,Low
702,2024-02-04,ACC1014,18738.56,Groceries,False,True,False,30.0,Low
710,2024-02-12,ACC1001,19277.08,Entertainment,False,True,False,30.0,Low
709,2024-02-08,ACC1001,23993.0,Entertainment,False,True,False,30.0,Low
701,2024-02-08,ACC1009,21843.28,Transfer,False,True,False,30.0,Low
708,2024-01-31,ACC1012,13435.17,Transfer,False,True,False,30.0,Low
711,2024-02-09,ACC1011,10911.17,Healthcare,False,True,False,30.0,Low
703,2024-02-10,ACC1023,9815.11,Electronics,False,True,False,30.0,Low
725,2024-01-08,ACC9999,3229.75,Entertainment,False,False,True,25.0,Low
736,2024-01-04,ACC9999,1745.42,Entertainment,False,False,True,25.0,Low
752,2024-01-04,ACC9999,1104.47,Entertainment,False,False,True,25.0,Low
728,2024-01-02,ACC9999,1892.42,Transfer,False,False,True,25.0,Low
729,2024-01-02,ACC9999,1087.05,Groceries,False,False,True,25.0,Low
755,2024-01-09,ACC9999,1167.1,Dining,False,False,True,25.0,Low
770,2024-01-13,ACC9999,806.24,Healthcare,False,False,True,25.0,Low
763,2024-01-12,ACC9999,1489.43,Utilities,False,False,True,25.0,Low
722,2024-01-01,ACC9999,2076.53,Groceries,False,False,True,25.0,Low
731,2024-01-18,ACC9999,1468.33,Utilities,False,False,True,25.0,Low
774,2024-01-18,ACC9999,777.87,Healthcare,False,False,True,25.0,Low
751,2024-01-16,ACC9999,2192.13,Dining,False,False,True,25.0,Low
745,2024-01-16,ACC9999,1110.53,Entertainment,False,False,True,25.0,Low
740,2024-01-14,ACC9999,1310.81,Travel,False,False,True,25.0,Low
724,2024-01-24,ACC9999,1431.98,Utilities,False,False,True,25.0,Low
759,2024-01-19,ACC9999,1914.99,Groceries,False,False,True,25.0,Low
742,2024-01-19,ACC9999,556.79,Healthcare,False,False,True,25.0,Low
737,2024-01-21,ACC9999,1234.6,Electronics,False,False,True,25.0,Low
760,2024-01-21,ACC9999,1699.28,Utilities,False,False,True,25.0,Low
754,2024-01-21,ACC9999,1627.36,Utilities,False,False,True,25.0,Low
765,2024-01-22,ACC9999,117.56,Travel,False,False,True,25.0,Low
767,2024-01-23,ACC9999,464.96,Healthcare,False,False,True,25.0,Low
746,2024-01-23,ACC9999,1501.24,Electronics,False,False,True,25.0,Low
723,2024-01-20,ACC9999,831.88,Electronics,False,False,True,25.0,Low
741,2024-01-19,ACC9999,643.08,Utilities,False,False,True,25.0,Low
758,2024-01-30,ACC9999,1383.5,Electronics,False,False,True,25.0,Low
753,2024-01-29,ACC9999,1947.11,Electronics,False,False,True,25.0,Low
719,2024-01-29,ACC9999,665.31,Entertainment,False,False,True,25.0,Low
717,2024-01-29,ACC9999,1270.15,Dining,False,False,True,25.0,Low
721,2024-01-27,ACC9999,761.7,Travel,False,False,True,25.0,Low
744,2024-01-28,ACC9999,765.4,Groceries,False,False,True,25.0,Low
733,2024-01-26,ACC9999,144.86,Travel,False,False,True,25.0,Low
750,2024-01-26,ACC9999,1174.5,Travel,False,False,True,25.0,Low
726,2024-01-25,ACC9999,527.26,Transfer,False,False,True,25.0,Low
761,2024-01-26,ACC9999,777.91,Travel,False,False,True,25.0,Low
756,2024-01-26,ACC9999,2115.24,Transfer,False,False,True,25.0,Low
716,2024-01-26,ACC9999,569.76,Transfer,False,False,True,25.0,Low
775,2024-01-24,ACC9999,2159.87,Entertainment,False,False,True,25.0,Low
734,2024-01-25,ACC9999,702.81,Transfer,False,False,True,25.0,Low
747,2024-01-23,ACC9999,1087.18,Entertainment,False,False,True,25.0,Low
771,2024-01-31,ACC9999,797.9,Electronics,False,False,True,25.0,Low
769,2024-02-08,ACC9999,2047.41,Healthcare,False,False,True,25.0,Low
735,2024-02-08,ACC9999,1355.98,Travel,False,False,True,25.0,Low
762,2024-02-07,ACC9999,377.88,Entertainment,False,False,True,25.0,Low
748,2024-02-07,ACC9999,2459.35,Dining,False,False,True,25.0,Low
743,2024-02-03,ACC9999,140.19,Utilities,False,False,True,25.0,Low
720,2024-02-01,ACC9999,981.72,Dining,False,False,True,25.0,Low
768,2024-02-03,ACC9999,977.42,Entertainment,False,False,True,25.0,Low
730,2024-02-03,ACC9999,502.26,Travel,False,False,True,25.0,Low
732,2024-01-30,ACC9999,840.44,Healthcare,False,False,True,25.0,Low
727,2024-02-12,ACC9999,1004.55,Dining,False,False,True,25.0,Low
739,2024-02-10,ACC9999,390.27,Transfer,False,False,True,25.0,Low
764,2024-02-10,ACC9999,1486.15,Utilities,False,False,True,25.0,Low
757,2024-02-09,ACC9999,402.89,Groceries,False,False,True,25.0,Low
718,2024-02-11,ACC9999,89.56,Travel,False,False,True,25.0,Low
749,2024-02-13,ACC9999,970.17,Dining,False,False,True,25.0,Low
773,2024-02-14,ACC9999,1339.88,Dining,False,False,True,25.0,Low
